id	circle	artist	coverImageName	1.booth	1.borrow	2.booth	2.borrow
1	Helene 海琳			A01	FALSE	A01	FALSE
2	毛毛喵			A02	FALSE	A02	FALSE
3	短髮女世一 -坂本陽菜-			A03	FALSE	A03	FALSE
4	純情purecure x inchiめろメロ			A04	FALSE	A04	FALSE
5	小布子✧好丁丁			A05	FALSE	A05	FALSE
6	JJeris 0v0/月小店			A06	FALSE		FALSE
7	Yuri180			A07	FALSE		FALSE
8	鈴美&楠朋友				FALSE	A06	FALSE
9	Mia cosplay				FALSE	A07	FALSE
10	矢風			A08	FALSE	A08	FALSE
11	紫音さま			A09	FALSE		FALSE
12	One Day				FALSE	A09	FALSE
13	Tsukiya-夜			A10	FALSE	A10	FALSE
14	Yuzuki柚姬			A11	FALSE	A11	FALSE
15	Sumiko			A12	FALSE	A12	FALSE
16	裁縫姬Sum sum Denka x Hatori sama紀奈奈			A13	FALSE	A13	FALSE
17	玄子			A14	FALSE	A14	FALSE
18	Hisui180			A15	FALSE	A15	FALSE
19	Yao & Alma			A16	FALSE	A16	FALSE
20	餓小璇Miu－璇哥			A17	FALSE	A17	FALSE
21	超健全☆ゆかり煉乳			A18	FALSE	A18	FALSE
22	魔王もも				FALSE	A19	FALSE
23	凱婷 Hoiting ch.			A20	FALSE		FALSE
24	協約同盟			A21	FALSE		FALSE
25	夢葉咖啡廳			A22	FALSE		FALSE
26	BUCHI			A23	FALSE		FALSE
27	冰之國雜貨屋			A24	FALSE		FALSE
28	艾歷克工作室			A25	FALSE		FALSE
29	白卡們的檔攤			A26-A27	FALSE		FALSE
30	我家有無敵的空調/dear.sugarroom				FALSE	A20	FALSE
31	Carefreee . 茄哩啡				FALSE	A21	FALSE
32	魔女樹屋				FALSE	A22	FALSE
33	叮一聲爆発しろ！				FALSE	A23	FALSE
34	HAMA旅遊推廣部				FALSE	A24	FALSE
35	公司又要我地出新既product				FALSE	A25	FALSE
36	shutuz/朧月 OBOROZUKI				FALSE	A26	FALSE
37	秋憶之月				FALSE	A27	FALSE
38	月之帆MurmurMoonsail/FRAGMENT				FALSE	A28	FALSE
39	Maid Academy			B01	FALSE	B01	FALSE
40	Nebula Production			B02	FALSE	B02	FALSE
41	ほろ酔いレモネード3％Rei x Emon -			B03	FALSE	B03	FALSE
42	胸不瓶何以瓶天下之青馬小喬都係平的			B04	FALSE	B04	FALSE
43	魔法燒酒あかな꒰´ᆺ`๑꒱			B05	FALSE	B05	FALSE
44	Misaki 珊珊			B06	FALSE	B06	FALSE
45	DEER 62			B07	FALSE	B07	FALSE
46	古喵 × 翼丁 ×苗猫			B08	FALSE	B08	FALSE
47	超次元美少女☆ありさ☆			B09	FALSE	O16-O17	FALSE
48	Maid Planet				FALSE	B09	FALSE
49	Rainy的小狗窩				FALSE	B10	FALSE
50	饕龍島x伊德洛			B11	FALSE		FALSE
51	循地咖啡			B12	FALSE		FALSE
52	狐狸月川的神社			B13	FALSE		FALSE
53	謎のA子				FALSE	B11	FALSE
54	作品名稱：四不像+w+				FALSE	B12	FALSE
55	White in Purple				FALSE	B13	FALSE
56	Beyou.賣藝萬事屋.			B14	FALSE	B14	FALSE
57	獅子山隧道收費亭			B15	FALSE	B15	FALSE
58	星願庭園			B16	FALSE	B16	FALSE
59	CuteTuber/Sweet☆YuRi			B17	FALSE	B17	FALSE
60	肝畫的魚系訓練家			B18	FALSE	B18	FALSE
61	青山			B19	FALSE	B19	FALSE
62	胃潰瘍白森林蛋糕			B20	FALSE	B20	FALSE
63	巴龍BUFF			B21	FALSE	B21	FALSE
64	KL和月兔的療養院			B22	FALSE	B22	FALSE
65	仙女森林診療所			B23	FALSE	B23	FALSE
66	CU Una x 冰冰			B24	FALSE	B24	FALSE
67	Aoi☆汪汪			B25	FALSE	B25	FALSE
68	小南 minami			B26	FALSE	B26	FALSE
69	三米 Sammi			B27	FALSE	B27	FALSE
70	可可米很好吃			B28	FALSE	B28	FALSE
71	雷婆婆x Sayoko			B29	FALSE	B29	FALSE
72	WinryHare 雲尼ハレ			B30	FALSE	B30	FALSE
73	米爺			B31	FALSE	B31	FALSE
74	遙醬Haruka in 35Land🌸			B32	FALSE		FALSE
75	Necho				FALSE	B32	FALSE
76	黑蛛白蛛			B33-B34	FALSE	B33-B34	FALSE
77	HOMURA			B35	FALSE	B35	FALSE
78	兔糖RabbitCandy			B36	FALSE		FALSE
79	翻車貓 MoNya MoNya				FALSE	B36	FALSE
80	Circle Works			B37	FALSE	B37	FALSE
81	SAKILAND			B38	FALSE	B38	FALSE
82	風林火山Naturefour			B39-B40	FALSE	B39-B40	FALSE
83	Paradox			B41	FALSE	B41	FALSE
84	T.A.B.O.O.			B42	FALSE	B42	FALSE
85	清里奶子			B43	FALSE	B43	FALSE
86	壹紫楓行/齊齊旺角港V俱樂部			B44	FALSE	B44	FALSE
87	異世界咖啡廳/Engage Virtual			B45	FALSE	B45	FALSE
88	為食貓插畫			B46	FALSE	B46	FALSE
89	港V臭DD/cattod/CEZAI/離月yobi			B47	FALSE	B47	FALSE
90	AOI			B48	FALSE	B48	FALSE
91	米亞Mya			B49	FALSE	B49	FALSE
92	海爾帝國			C01	FALSE	C01	FALSE
93	感度3000倍			C02	FALSE	C02	FALSE
94	HeyHei熙 in 丁enny的房間			C03	FALSE	C03	FALSE
95	NazoEirian			C04	FALSE	C04	FALSE
96	Yuimeow 唯唯			C05-C06	FALSE	C05-C06	FALSE
97	Maid Clinic/Dora朵拉			C07-C08	FALSE	C07-C08	FALSE
98	Maid Magica			C09	FALSE	C09	FALSE
